Name, Latitude, Longitude
Point 1,29.6878846,-82.2967158
Point 2,29.6878440,-82.2964930
Point 3,29.6877027,-82.2958564
Point 4,29.6876215,-82.2955302
Point 5,29.6875267,-82.2951725
Point 6,29.6874216,-82.2948194
Point 7,29.6873116,-82.2944555
Point 8,29.6872237,-82.2941823
Point 9,29.6871328,-82.2939137
Point 10,29.6869823,-82.2934871
Point 11,29.6868322,-82.2931030
Point 12,29.6868329,-82.2929838
Point 13,29.6868140,-82.2929091
Point 14,29.6867091,-82.2926724
Point 15,29.6867078,-82.2926102
Point 16,29.6867440,-82.2925450
Point 17,29.6867226,-82.2924954
Point 18,29.6865996,-82.2922103
Point 19,29.6865228,-82.2920461
Point 20,29.6864180,-82.2918219
Point 21,29.6863134,-82.2916210
Point 22,29.6861749,-82.2913487
Point 23,29.6860792,-82.2911640
Point 24,29.6861231,-82.2911100
Point 25,29.6860121,-82.2908979
Point 26,29.6859638,-82.2908056
Point 27,29.6859588,-82.2907961
Point 28,29.6856757,-82.2902379
Point 29,29.6856716,-82.2902277
Point 30,29.6854211,-82.2897371
Point 31,29.6854083,-82.2897121
Point 32,29.6852819,-82.2894645
Point 33,29.6852279,-82.2893496
Point 34,29.6852302,-82.2893130
Point 35,29.6852460,-82.2892738
Point 36,29.6851922,-82.2891702
Point 37,29.6851384,-82.2890680
Point 38,29.6856866,-82.2886993
Point 39,29.6858322,-82.2885955
Point 40,29.6861173,-82.2883922
Point 41,29.6878736,-82.2871747
Point 42,29.6883175,-82.2868669
Point 43,29.6883103,-82.2867421
Point 44,29.6883013,-82.2867187
Point 45,29.6880075,-82.2861273
Point 46,29.6879112,-82.2859910
Point 47,29.6877901,-82.2858635
Point 48,29.6874138,-82.2855219
Point 49,29.6872131,-82.2853441
Point 50,29.6871042,-82.2852431
Point 51,29.6869304,-82.2850494
Point 52,29.6867430,-82.2847929
Point 53,29.6865778,-82.2845087
Point 54,29.6865103,-82.2843621
Point 55,29.6864142,-82.2841532
Point 56,29.6863274,-82.2838765
Point 57,29.6862590,-82.2836152
Point 58,29.6862039,-82.2832602
Point 59,29.6861303,-82.2824723
Point 60,29.6859839,-82.2810049
Point 61,29.6859708,-82.2808653
Point 62,29.6859706,-82.2808127
Point 63,29.6859743,-82.2807560
Point 64,29.6859812,-82.2806997
Point 65,29.6859906,-82.2806447
Point 66,29.6860020,-82.2805982
Point 67,29.6860209,-82.2805394
Point 68,29.6860517,-82.2804670
Point 69,29.6860913,-82.2803926
Point 70,29.6861356,-82.2803275
Point 71,29.6861681,-82.2802871
Point 72,29.6862137,-82.2802390
Point 73,29.6863139,-82.2801492
Point 74,29.6863611,-82.2800969
Point 75,29.6863989,-82.2800506
Point 76,29.6864390,-82.2799837
Point 77,29.6864811,-82.2798964
Point 78,29.6865084,-82.2798233
Point 79,29.6865333,-82.2797419
Point 80,29.6865463,-82.2796576
Point 81,29.6865524,-82.2795225
Point 82,29.6865568,-82.2793277
Point 83,29.6865585,-82.2791789
Point 84,29.6865520,-82.2790658
Point 85,29.6865371,-82.2789494
Point 86,29.6864452,-82.2784902
Point 87,29.6864291,-82.2784053
Point 88,29.6863378,-82.2779133
Point 89,29.6863022,-82.2778240
Point 90,29.6862687,-82.2776603
Point 91,29.6862308,-82.2774755
Point 92,29.6861357,-82.2769659
Point 93,29.6860823,-82.2766725
Point 94,29.6860247,-82.2763557
Point 95,29.6859899,-82.2761642
